date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:01:02	34032/34032	---M--	200	added ('OK')	image/png	etag:%221cc5d0c-84f0-5df70d5b08580%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-3.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-3.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:02	30545/30545	---M--	200	added ('OK')	image/png	etag:%221cc5f00-7751-5df70d7f45b00%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-4.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-4.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:02	31480/31480	---M--	200	added ('OK')	image/png	etag:%221cc5f04-7af8-5df70da19ac00%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-5.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-5.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:02	700102/700102	---M--	200	added ('OK')	image/png	etag:%221cc5f17-aaec6-5df70e7922880%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/timeline-1.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/timeline-1.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:02	29219/29219	---M--	200	added ('OK')	image/png	etag:%221cc5f0b-7223-5df70dc01f400%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-6.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-6.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:02	28656/28656	---M--	200	added ('OK')	image/png	etag:%221cc5f0d-6ff0-5df70dd8eae80%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-7.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-7.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:03	32072/32072	---M--	200	added ('OK')	image/png	etag:%221cc5f0e-7d48-5df70df76f680%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/post-8.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/post-8.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:03	723939/723939	---M--	200	added ('OK')	image/png	etag:%221cc5f18-b0be3-5df70f0de8780%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/timeline-2.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/timeline-2.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:03	8610/8610	---M--	200	added ('OK')	image/jpeg	etag:%221c8a614-21a2-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/avtar/3.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/avtar/3.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:03	230847/230847	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b04-385bf-5df7112b98580%22	https://admin.pixelstrap.com/tivo/assets/images/user-card/1.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-card/1.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:04	43716/43716	---M--	200	added ('OK')	image/jpeg	etag:%221c84531-aac4-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/avtar/16.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/avtar/16.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:04	625867/625867	---M--	200	added ('OK')	image/png	etag:%221cc6315-98ccb-5df70fb991c80%22	https://admin.pixelstrap.com/tivo/assets/images/social-app/timeline-4.png	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/social-app/timeline-4.png	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:04	616426/616426	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b11-967ea-5df7117042780%22	https://admin.pixelstrap.com/tivo/assets/images/user-card/2.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-card/2.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:04	39074/39074	---M--	200	added ('OK')	image/jpeg	etag:%221c83491-98a2-5dc9b86d99000%22	https://admin.pixelstrap.com/tivo/assets/images/avtar/11.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/avtar/11.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:05	589357/589357	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b1b-8fe2d-5df71621e3a80%22	https://admin.pixelstrap.com/tivo/assets/images/user-card/7.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-card/7.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:06	509311/509311	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b15-7c57f-5df713b22fb00%22	https://admin.pixelstrap.com/tivo/assets/images/user-card/5.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-card/5.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
21:01:06	338187/338187	---M--	200	added ('OK')	image/jpeg	etag:%221cc7b1a-5290b-5df7157fc3c00%22	https://admin.pixelstrap.com/tivo/assets/images/user-card/6.jpg	D:/project-apnaPay/project-apnaPay/admin.pixelstrap.com/tivo/assets/images/user-card/6.jpg	(from https://admin.pixelstrap.com/tivo/template/social-app.html)
